"Domain.Code","Domain","Area.Code..FAO.","Area","Element.Code","Element","Item.Code","Item","Year.Code","Year","Unit","Value","Flag","Flag.Description"
"LC","Land Cover",98,"Croatia",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",1992,1992,"1000 ha",34.284,"FC","Calculated data"
"LC","Land Cover",98,"Croatia",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",1993,1993,"1000 ha",34.9758,"FC","Calculated data"
"LC","Land Cover",98,"Croatia",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",1994,1994,"1000 ha",35.6094,"FC","Calculated data"
"LC","Land Cover",98,"Croatia",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",1995,1995,"1000 ha",36.4115,"FC","Calculated data"
"LC","Land Cover",98,"Croatia",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",1996,1996,"1000 ha",37.33,"FC","Calculated data"
"LC","Land Cover",98,"Croatia",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",1997,1997,"1000 ha",38.1438,"FC","Calculated data"
"LC","Land Cover",98,"Croatia",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",1998,1998,"1000 ha",39.5795,"FC","Calculated data"
"LC","Land Cover",98,"Croatia",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",1999,1999,"1000 ha",41.0269,"FC","Calculated data"
"LC","Land Cover",98,"Croatia",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2000,2000,"1000 ha",42.3987,"FC","Calculated data"
"LC","Land Cover",98,"Croatia",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2001,2001,"1000 ha",45.0261,"FC","Calculated data"
"LC","Land Cover",98,"Croatia",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2002,2002,"1000 ha",47.9035,"FC","Calculated data"
"LC","Land Cover",98,"Croatia",5008,"Area from CCI_LC",6970,"Artificial surfaces (including urban and associated areas)",2003,2003,"1000 ha",51.6411,"FC","Calculated data"
