DATAFLOW,LAST UPDATE,freq,indic_ag,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,FI,2010,33.3,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,FI,2011,30.3,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,FI,2012,27.3,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,FI,2013,28.7,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,FI,2014,30.3,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,FI,2015,28.1,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,FI,2016,29,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,FI,2017,28.9,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,FI,2018,26.7,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,FI,2019,26.4,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,FR,2005,32,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,FR,2006,30,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,FR,2007,33.1,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,FR,2008,36.6,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,FR,2009,34.5,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,FR,2010,33.4,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,FR,2011,33.7,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,FR,2012,38.6,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,FR,2013,41.7,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,FR,2014,43.9,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,FR,2015,40.1,
ESTAT:AEI_PS_INP(1.0),04/10/21 23:00:00,A,HIGH_INP,PC_AREA,FR,2016,41.2,
