Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2018","2018","kg/ha","19.19","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2019","2019","kg/ha","21.68","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1961","1961","kg/ha","1.42","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1962","1962","kg/ha","1.44","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1963","1963","kg/ha","1.62","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1964","1964","kg/ha","1.8","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1965","1965","kg/ha","1.92","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1966","1966","kg/ha","2.78","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1967","1967","kg/ha","2.7","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1968","1968","kg/ha","3.51","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1969","1969","kg/ha","3.42","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1970","1970","kg/ha","1.5","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1971","1971","kg/ha","2.95","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1972","1972","kg/ha","3.21","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1973","1973","kg/ha","1.73","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1974","1974","kg/ha","5.52","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1975","1975","kg/ha","2.42","Fc","Calculated data"
"EF","Fertilizers indicators","3","Albania","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1976","1976","kg/ha","6.28","Fc","Calculated data"
